Reactive Patrol Demand,ALARM - AUDIBLE AUTOMOBILE (UNOCC/ANTI-THEFT)
Reactive Patrol Demand,ALARM - COMM  HOLD-UP/PANIC (EXCEPT BANKS)
Reactive Patrol Demand,ALARM - COMM  SILENT/AUD BURG (INCL BANKS)
Reactive Patrol Demand,ALARM - RESIDENTIAL - BURGLARY  SILENT/AUDIBLE
Reactive Patrol Demand,ALARM - RESIDENTIAL - SILENT/AUD PANIC/DURESS
Reactive Patrol Demand,ALARM-COMM (INC BANK  ATM  SCHOOLS  BSN)
Reactive Patrol Demand,ALARM-COMM ROBB (BANK  PANIC  DURESS)
Reactive Patrol Demand,ALARM-OTHER (VARDA PDT FIRE LOCAL METRO ETC))
Reactive Patrol Demand,ALARM-RESIDENTIAL BURG
Reactive Patrol Demand,ALARM-RESIDENTIAL PANIC OR DURESS
Reactive Patrol Demand,ALARM-VEHICLE ALARMS
Reactive Patrol Demand,ANIMAL - DANGEROUS
Reactive Patrol Demand,ANIMAL - INJURED  DEAD HAZARD  OTHER
Reactive Patrol Demand,ANIMAL COMPLAINT - INJURED DEAD DANGEROUS
Reactive Patrol Demand,ANIMAL COMPLAINT - NOISE STRAY BITE
Reactive Patrol Demand,ARSON - REPORT
Reactive Patrol Demand,ARSON  BOMBS  EXPLO - ARSON
Reactive Patrol Demand,ARSON  BOMBS  EXPLO - RECKLESS BURNING
Reactive Patrol Demand,ARSON BOMBS EXPLO - BOMBS  EXPLO LARGE FIREWORKS
Reactive Patrol Demand,ASLT - CRITICAL (NO SHOOTINGS)
Reactive Patrol Demand,ASLT - DV
Reactive Patrol Demand,ASLT - DV CRITICAL
Reactive Patrol Demand,ASLT - MOLESTED ADULT (GROPED  FONDLED  ETC.)
Reactive Patrol Demand,ASLT - PERSON SHOT OR SHOT AT
Reactive Patrol Demand,ASLT - WITH OR W/O WPNS (NO SHOOTINGS)
Reactive Patrol Demand,ASSAULTS - FIREARM INVOLVED
Reactive Patrol Demand,ASSAULTS - GANG RELATED
Reactive Patrol Demand,ASSAULTS - HARASSMENT  THREATS
Reactive Patrol Demand,ASSAULTS - TELEPHONE  WRITING
Reactive Patrol Demand,ASSAULTS  OTHER
Organizational / Out-of-Service Workload,ASSIGNED DUTY - CENTURYLINK STADIUM
Proactive / Community Patrol Activity,ASSIGNED DUTY - COMMUNITY SCHOOL SPECIAL EVENT
Organizational / Out-of-Service Workload,ASSIGNED DUTY - COURT
Organizational / Out-of-Service Workload,ASSIGNED DUTY - DETAIL BY SUPERVISOR
Proactive / Community Patrol Activity,ASSIGNED DUTY - FOOT BEAT (FROM ASSIGNED CAR)
Organizational / Out-of-Service Workload,ASSIGNED DUTY - HOSPITAL GUARD
Organizational / Out-of-Service Workload,ASSIGNED DUTY - IN-SERVICE TRAINING
Organizational / Out-of-Service Workload,ASSIGNED DUTY - MEET W/ SUPERVISOR (OUT OF SVC)
Organizational / Out-of-Service Workload,ASSIGNED DUTY - OTHER ESCORT
Organizational / Out-of-Service Workload,ASSIGNED DUTY - REPORTS
Organizational / Out-of-Service Workload,ASSIGNED DUTY - SEATTLE CENTER EVENT
Organizational / Out-of-Service Workload,ASSIGNED DUTY - STAKEOUT
Organizational / Out-of-Service Workload,ASSIGNED DUTY - STATION DUTY (CLERK MAIL ETC)
Organizational / Out-of-Service Workload,ASSIGNED DUTY - TRANSPORT EVIDENCE EQUIPMENT
Organizational / Out-of-Service Workload,ASSIST OTHER AGENCY - CITY AGENCY
Organizational / Out-of-Service Workload,ASSIST OTHER AGENCY - COUNTY AGENCY
Organizational / Out-of-Service Workload,ASSIST OTHER AGENCY - EMERGENCY SERVICE
Organizational / Out-of-Service Workload,ASSIST OTHER AGENCY - FEDERAL AGENCY
Organizational / Out-of-Service Workload,ASSIST OTHER AGENCY - ROUTINE SERVICE
Organizational / Out-of-Service Workload,ASSIST OTHER AGENCY - STATE AGENCY
Proactive / Community Patrol Activity,ASSIST PUBLIC - 911 HANG UP  OPEN LINE
Proactive / Community Patrol Activity,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE
Proactive / Community Patrol Activity,ASSIST PUBLIC - OTHER (NON-SPECIFIED)
Proactive / Community Patrol Activity,ASSIST SPD
Reactive Patrol Demand,AUTO - THEFT/LOSS OF PLATES
Reactive Patrol Demand,AUTO RECOVERY
Reactive Patrol Demand,AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY
Reactive Patrol Demand,AUTOMOBILES - ABANDONED CAR
Reactive Patrol Demand,AUTOMOBILES - AUTO THEFT
Reactive Patrol Demand,AUTOMOBILES - AUTO THEFT & RECOVERY
Reactive Patrol Demand,AUTOMOBILES - LICENSE PLATE(S) THEFT OR LOSS
Reactive Patrol Demand,AUTOMOBILES - RECOVERY (THEFT)
Reactive Patrol Demand,AWOL - ADULT OR JUVENILE
Reactive Patrol Demand,BIAS
Reactive Patrol Demand,BOMB - THREATS
Reactive Patrol Demand,BROADCAST AND CLEAR BY RADIO
Reactive Patrol Demand,BURG - COMM BURGLARY
Reactive Patrol Demand,BURG - OCCUPIED RESD
Reactive Patrol Demand,BURG - RESD (INCL UNOCC STRUCTURES ON PROP)
Reactive Patrol Demand,BURGLARY - NON RESIDENTIAL/COMMERCIAL
Reactive Patrol Demand,BURGLARY - RESIDENTIAL OCCUPIED
Reactive Patrol Demand,BURGLARY - RESIDENTIAL  UNOCCUPIED
Reactive Patrol Demand,BURGLARY - UNOCC STRUC ON RESN PROP
Reactive Patrol Demand,BURN - RECKLESS BURNING
Reactive Patrol Demand,CASUALTY NON-TRAF NON-CRIM - DRUG RELATED (OD)
Reactive Patrol Demand,CASUALTY NON-TRAF NON-CRIM - NON-DRUG RELATED
Reactive Patrol Demand,CHILD - ABANDONED  ABUSED AND NEGLECTED
Reactive Patrol Demand,CHILD - CHILD ENDANGERMENT
Reactive Patrol Demand,CHILD - CRITICAL ABAND  ABUSE  MOLEST  NEGLECT
Reactive Patrol Demand,CRISIS COMPLAINT - GENERAL
Reactive Patrol Demand,CRISIS COMPLAINT - PICK-UP OR TRANSPORT
Organizational / Out-of-Service Workload,CROWD MGMNT (STAND BY ONLY)
Reactive Patrol Demand,DEMO MGMNT (CONTROL TACTICS USED)
Organizational / Out-of-Service Workload,DEMONSTRATIONS
Proactive / Community Patrol Activity,DETOX - REQUEST FOR
Reactive Patrol Demand,DIRECTED PATROL ACTIVITY
Reactive Patrol Demand,DISTURBANCE
Reactive Patrol Demand,DISTURBANCE - DV - NO ASLT
Reactive Patrol Demand,DISTURBANCE - DV CRITICAL
Reactive Patrol Demand,DISTURBANCE - FIGHT
Reactive Patrol Demand,DISTURBANCE - JUVENILE
Reactive Patrol Demand,DISTURBANCE - NOISE
Reactive Patrol Demand,DISTURBANCE - NOISE RESIDENTIAL
Reactive Patrol Demand,DISTURBANCE - OTHER
Reactive Patrol Demand,DOMESTIC SEX TRAFFICKING
Reactive Patrol Demand,DOWN - CHECK FOR DOWN PERSON
Organizational / Out-of-Service Workload,DOWN TIME - OUT OF SERVICE
Reactive Patrol Demand,DRIVE BY SHOOTING - NO INJURIES
Reactive Patrol Demand,DUI - DRIVING UNDER INFLUENCE
Reactive Patrol Demand,DV - ARGUMENTS  DISTURBANCE (NO ARREST)
Reactive Patrol Demand,DV - ASSIST VICTIM BY COURT ORDER
Reactive Patrol Demand,DV - DOMESTIC THREATS BY PHONE OR WRITING
Reactive Patrol Demand,DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY)
Reactive Patrol Demand,DV - DOMESTIC VIOLENCE (ARREST DISCRETIONARY)
Reactive Patrol Demand,DV - ENFORCE COURT ORDER (ARREST MANDATED)
Reactive Patrol Demand,DV - SERVICE OF COURT ORDER
Reactive Patrol Demand,DV - STANDBY TO ASSURE PEACE
Reactive Patrol Demand,DV -VULNERABLE ADULT  FINANCIAL EXPLOITATION
Reactive Patrol Demand,DV -VULNERABLE ADULT  NEGLECT
Reactive Patrol Demand,E.R.T./HOSTAGE
Proactive / Community Patrol Activity,ELEMENTARY SCHOOL VISIT
Reactive Patrol Demand,FIGHT - CRITICAL WITH WEAPONS
Reactive Patrol Demand,FIREWORKS (NO HAZARD)
Organizational / Out-of-Service Workload,FOLLOW UP
Reactive Patrol Demand,FOOT - ELUDING POLICE
Reactive Patrol Demand,FOUND PERSON
Reactive Patrol Demand,FRAUD
Reactive Patrol Demand,FRAUD - FORGERY  BAD CHECKS
Reactive Patrol Demand,FRAUD - FRAUD  INCLUDING BUNCO
Organizational / Out-of-Service Workload,GAS/MAINTENANCE/WASH/GARAGE
Reactive Patrol Demand,HARAS - NO BIAS OR THREATS
Reactive Patrol Demand,HARBOR - ASSIST BOATER (NON EMERG)
Reactive Patrol Demand,HARBOR - BOAT ACCIDENT
Reactive Patrol Demand,HARBOR - DEBRIS  NAVIGATIONAL HAZ
Reactive Patrol Demand,HARBOR - HARBOR CODE VIOLATION
Reactive Patrol Demand,HARBOR - MARINE FIRE
Reactive Patrol Demand,HARBOR - PERSON IN WATER
Reactive Patrol Demand,HARBOR - VESSEL  ABANDONED
Reactive Patrol Demand,HARBOR - VESSEL  THEFT AND RECOVERY
Reactive Patrol Demand,HARBOR - WATER DEBRIS  NAVIGATIONAL HAZARDS
Reactive Patrol Demand,HARBOR - WATER EMERGENCIES
Reactive Patrol Demand,HAZ - CRITICAL
Reactive Patrol Demand,HAZ - POTENTIAL THRT TO PHYS SAFETY
Reactive Patrol Demand,HAZARDS - HAZARDS
Reactive Patrol Demand,HELP THE OFFICER
Reactive Patrol Demand,HELP THE OFFICER -ASSIST THE OFFICER (NON EMERG)
Reactive Patrol Demand,HOMICIDE
Organizational / Out-of-Service Workload,HOSPITAL GUARD ASSIGNMENT
Reactive Patrol Demand,ILLEGAL DUMPING
Organizational / Out-of-Service Workload,INFORMATIONAL BROADCASTS
Reactive Patrol Demand,INJURED -  PERSON/INDUSTRIAL ACCIDENT
Reactive Patrol Demand,INTOX & LIQ VIOLS - ADULTS (VIOLATIONS)
Reactive Patrol Demand,INTOX & LIQ VIOLS - INTOXICATED PERSON
Reactive Patrol Demand,INTOX & LIQ VIOLS - MINORS (VIOLATIONS)
Reactive Patrol Demand,JUVENILE - RUNAWAY PICKUP
